Nome,Estrelas,Forks,Issues Abertas,Criado em,Última Atualização,Último Push,Número de Releases,Total de Pull Requests Aceitas,Razão de Issues Fechadas,Linguagem Primária
freeCodeCamp,400559,36977,245,2014-12-24T17:49:19Z,2024-09-05T17:49:57Z,2024-09-05T10:23:33Z,0,16,0.4666666666666667,TypeScript
free-programming-books,333228,61090,39,2013-10-11T06:50:37Z,2024-09-05T17:43:51Z,2024-09-03T22:55:58Z,0,25,0.8,
awesome,322744,27610,46,2014-07-11T13:42:37Z,2024-09-05T17:53:29Z,2024-08-15T22:41:15Z,0,16,0.5666666666666667,
public-apis,311685,33252,329,2016-03-20T23:49:42Z,2024-09-05T17:31:58Z,2024-08-19T10:22:30Z,0,4,0.1,Python
coding-interview-university,303733,76206,45,2016-06-06T02:34:12Z,2024-09-05T17:32:15Z,2024-08-30T16:13:49Z,0,30,0.9333333333333333,
build-your-own-x,298593,28014,335,2018-05-09T12:03:18Z,2024-09-05T17:58:30Z,2024-09-03T14:39:35Z,0,14,0.7666666666666667,Markdown
developer-roadmap,290461,38448,90,2017-03-15T13:45:52Z,2024-09-05T17:43:52Z,2024-09-05T14:12:03Z,1,21,0.5333333333333333,TypeScript
996.ICU,269668,21186,16705,2019-03-26T07:31:14Z,2024-09-05T17:02:28Z,2024-08-18T01:10:12Z,0,24,0.8,
system-design-primer,268750,45435,466,2017-02-26T16:15:28Z,2024-09-05T17:58:25Z,2024-08-07T10:09:11Z,0,9,0.1,Python
react,227041,46284,830,2013-05-24T16:15:54Z,2024-09-05T17:30:43Z,2024-09-05T17:30:35Z,30,17,0.4,JavaScript
awesome-python,217760,24765,421,2014-06-27T21:00:06Z,2024-09-05T17:59:16Z,2024-08-11T17:10:18Z,0,3,0.1,Python
vue,207652,33661,602,2013-07-29T03:24:51Z,2024-09-05T16:48:32Z,2024-08-21T13:01:25Z,30,28,0.9333333333333333,TypeScript
project-based-learning,195560,25470,168,2017-04-12T05:07:46Z,2024-09-05T17:53:19Z,2024-08-15T05:33:54Z,0,7,0.26666666666666666,
awesome-selfhosted,193418,9406,0,2015-06-01T02:33:17Z,2024-09-05T17:44:20Z,2024-09-01T10:02:55Z,1,30,1.0,
javascript-algorithms,186671,30055,349,2018-03-24T07:47:04Z,2024-09-05T17:03:14Z,2024-08-19T12:32:07Z,0,14,0.4666666666666667,JavaScript
tensorflow,185354,74164,4557,2015-11-07T01:19:20Z,2024-09-05T17:55:43Z,2024-09-05T17:55:15Z,30,4,0.13333333333333333,C++
Python,183914,44278,234,2016-07-16T09:44:01Z,2024-09-05T17:21:39Z,2024-09-03T12:39:10Z,0,22,0.7,Python
You-Dont-Know-JS,178819,33440,125,2013-11-16T02:37:24Z,2024-09-05T17:34:32Z,2024-09-05T04:11:45Z,0,29,0.9333333333333333,
linux,177772,53103,383,2011-09-04T22:48:12Z,2024-09-05T17:11:17Z,2024-09-05T17:11:09Z,0,14,0.4666666666666667,C
CS-Notes,174560,50800,180,2018-02-13T14:56:24Z,2024-09-05T17:16:25Z,2024-08-21T09:40:10Z,0,12,0.36666666666666664,
ohmyzsh,172225,25789,427,2009-08-28T18:15:37Z,2024-09-05T17:57:16Z,2024-09-05T17:57:11Z,0,26,0.6333333333333333,Shell
bootstrap,169923,78737,607,2011-07-29T21:19:00Z,2024-09-05T16:54:24Z,2024-09-05T14:40:38Z,30,17,0.6,JavaScript
computer-science,168091,21260,18,2014-05-04T00:18:39Z,2024-09-05T17:01:04Z,2024-08-21T04:48:03Z,0,29,0.8666666666666667,
AutoGPT,166281,44005,162,2023-03-16T09:21:07Z,2024-09-05T16:27:41Z,2024-09-05T17:04:57Z,21,21,0.4666666666666667,Python
flutter,164441,27126,12641,2015-03-06T22:54:58Z,2024-09-05T17:57:25Z,2024-09-05T17:57:29Z,7,20,0.4,Dart
vscode,162123,28523,9754,2015-09-03T20:23:38Z,2024-09-05T17:25:21Z,2024-09-05T17:50:52Z,30,25,0.36666666666666664,TypeScript
gitignore,160911,83163,472,2010-11-08T20:17:14Z,2024-09-05T17:45:08Z,2024-08-31T23:05:20Z,0,6,0.2,
Python-100-Days,154469,51931,718,2018-03-01T16:05:52Z,2024-09-05T17:02:13Z,2024-08-15T10:52:27Z,0,9,0.2,Python
the-art-of-command-line,152384,14485,243,2015-05-20T15:11:03Z,2024-09-05T17:55:32Z,2024-06-25T18:13:44Z,0,9,0.06666666666666667,
JavaGuide,145764,45490,68,2018-05-07T13:27:00Z,2024-09-05T16:59:36Z,2024-09-05T04:20:44Z,0,29,0.7333333333333333,Java
javascript,144505,26422,163,2012-11-01T23:13:50Z,2024-09-05T17:31:33Z,2024-08-17T17:36:24Z,0,30,0.9666666666666667,JavaScript
the-book-of-secret-knowledge,142664,9404,75,2018-06-23T10:43:14Z,2024-09-05T17:14:34Z,2024-08-21T00:15:07Z,0,10,0.3333333333333333,
stable-diffusion-webui,139093,26401,2270,2022-08-22T14:05:26Z,2024-09-05T17:37:05Z,2024-09-05T01:46:14Z,26,4,0.36666666666666664,Python
transformers,131628,26199,1411,2018-10-29T13:56:00Z,2024-09-05T17:30:08Z,2024-09-05T17:15:17Z,30,7,0.16666666666666666,Python
youtube-dl,131167,9926,4199,2010-10-31T14:35:07Z,2024-09-05T17:55:46Z,2024-08-17T06:41:13Z,30,15,0.8,Python
awesome-go,128230,11772,127,2014-07-06T13:42:15Z,2024-09-05T17:07:33Z,2024-09-05T08:10:30Z,0,25,0.8333333333333334,Go
fucking-algorithm,124868,23177,40,2020-02-19T09:01:23Z,2024-09-05T17:50:15Z,2024-08-31T11:05:12Z,1,6,0.5,Markdown
next.js,124648,26608,3462,2016-10-05T23:32:51Z,2024-09-05T17:19:41Z,2024-09-05T17:19:35Z,30,15,0.36666666666666664,JavaScript
go,122659,17487,9620,2014-08-19T04:33:40Z,2024-09-05T16:57:09Z,2024-09-05T16:42:25Z,0,10,0.5,Go
30-seconds-of-code,120981,11984,0,2017-11-29T17:35:03Z,2024-09-05T17:33:29Z,2024-09-04T18:29:17Z,10,30,1.0,JavaScript
react-native,117972,24173,915,2015-01-09T18:10:16Z,2024-09-05T17:58:12Z,2024-09-05T17:32:06Z,30,12,0.3333333333333333,C++
tech-interview-handbook,116419,14510,41,2016-07-05T05:00:48Z,2024-09-05T17:37:03Z,2024-07-17T12:17:43Z,0,21,0.4666666666666667,TypeScript
electron,113630,15282,952,2013-04-12T01:47:36Z,2024-09-05T16:55:50Z,2024-09-05T16:26:20Z,30,23,0.6666666666666666,C++
free-programming-books-zh_CN,111036,28188,35,2013-11-04T01:59:19Z,2024-09-05T16:38:39Z,2024-07-15T08:55:20Z,3,8,0.26666666666666666,
awesome-chatgpt-prompts,109985,14978,290,2022-12-05T13:54:13Z,2024-09-05T17:30:45Z,2024-09-03T21:27:52Z,0,7,0.23333333333333334,HTML
kubernetes,109633,39259,2609,2014-06-06T22:56:04Z,2024-09-05T17:26:41Z,2024-09-05T17:26:32Z,30,7,0.13333333333333333,Go
PowerToys,108679,6421,6059,2019-05-01T17:44:02Z,2024-09-05T17:57:45Z,2024-09-05T17:50:17Z,30,24,0.23333333333333334,C#
scrcpy,108456,10445,2001,2017-11-21T18:00:27Z,2024-09-05T17:45:51Z,2024-08-29T12:44:42Z,30,20,0.43333333333333335,C
d3,108394,22871,13,2010-09-27T17:22:42Z,2024-09-05T17:20:51Z,2024-07-08T09:38:34Z,30,25,0.9666666666666667,Shell
node,106385,28987,2159,2014-11-26T19:57:11Z,2024-09-05T17:45:34Z,2024-09-05T17:45:27Z,30,3,0.2,JavaScript
axios,105126,10821,786,2014-08-18T22:30:27Z,2024-09-05T17:53:52Z,2024-08-31T22:02:03Z,30,27,0.5666666666666667,JavaScript
create-react-app,102491,26773,2238,2016-07-17T14:55:11Z,2024-09-05T15:23:50Z,2024-08-27T17:09:10Z,30,7,0.06666666666666667,JavaScript
three.js,101540,35294,539,2010-03-23T18:58:01Z,2024-09-05T17:49:11Z,2024-09-05T17:48:44Z,30,29,0.9333333333333333,JavaScript
TypeScript,100045,12367,5706,2014-06-17T15:28:39Z,2024-09-05T17:46:34Z,2024-09-05T16:53:21Z,30,12,0.3333333333333333,TypeScript
nodebestpractices,99219,10080,73,2017-09-15T08:33:19Z,2024-09-05T17:35:29Z,2024-07-04T03:41:45Z,0,13,0.26666666666666666,Dockerfile
GitHub-Chinese-Top-Charts,98215,13005,188,2019-09-05T03:01:56Z,2024-09-05T17:02:09Z,2024-09-05T07:24:00Z,0,16,0.16666666666666666,Java
rust,96548,12471,10264,2010-06-16T20:39:03Z,2024-09-05T17:22:44Z,2024-09-05T16:06:29Z,30,12,0.3333333333333333,Rust
angular,95639,25184,1621,2014-09-18T16:12:01Z,2024-09-05T17:23:43Z,2024-09-05T17:57:37Z,30,19,0.6,TypeScript
terminal,94845,8212,1535,2017-08-11T18:38:22Z,2024-09-05T17:43:23Z,2024-09-05T01:31:26Z,30,25,0.4666666666666667,C++
hello-algo,94498,11990,17,2022-11-04T11:08:34Z,2024-09-05T17:59:21Z,2024-09-02T06:09:27Z,8,25,0.8333333333333334,Java
deno,93887,5220,2019,2018-05-15T01:34:26Z,2024-09-05T17:45:09Z,2024-09-05T16:34:42Z,30,17,0.43333333333333335,Rust
Microsoft-Activation-Scripts,93322,9103,4,2020-01-12T23:03:34Z,2024-09-05T17:46:26Z,2024-09-04T23:41:25Z,15,30,0.9666666666666667,Batchfile
material-ui,93179,32082,1878,2014-08-18T19:11:54Z,2024-09-05T16:35:32Z,2024-09-05T17:24:58Z,30,14,0.2,TypeScript
langchain,91982,14631,802,2022-10-17T02:58:36Z,2024-09-05T17:39:10Z,2024-09-05T17:58:45Z,30,16,0.3333333333333333,Jupyter Notebook
ant-design,91793,48675,1229,2015-04-24T15:37:24Z,2024-09-05T17:25:49Z,2024-09-05T14:23:33Z,30,22,0.4666666666666667,TypeScript
clean-code-javascript,91151,12218,106,2016-11-25T22:25:41Z,2024-09-05T17:39:42Z,2024-07-29T07:24:37Z,0,8,0.13333333333333333,JavaScript
HelloGitHub,90108,9547,136,2016-05-04T06:24:11Z,2024-09-05T17:57:01Z,2024-08-28T07:31:42Z,30,29,0.36666666666666664,Python
java-design-patterns,89204,26394,146,2014-08-09T16:45:18Z,2024-09-05T16:44:13Z,2024-09-02T22:04:58Z,0,22,0.7333333333333333,Java
godot,88622,20093,13399,2014-01-04T16:05:36Z,2024-09-05T17:50:27Z,2024-09-05T17:46:10Z,30,8,0.2,C++
puppeteer,88149,9057,277,2017-05-09T22:16:13Z,2024-09-05T13:06:30Z,2024-09-05T07:44:19Z,30,30,0.8,TypeScript
ollama,87974,6854,1258,2023-06-26T19:39:32Z,2024-09-05T17:58:32Z,2024-09-05T17:48:27Z,30,21,0.5333333333333333,Go
vue-element-admin,87490,30419,1344,2017-04-17T03:35:49Z,2024-09-05T13:57:07Z,2024-07-16T07:51:01Z,30,8,0.16666666666666666,Vue
free-for-dev,86885,9448,13,2015-03-18T21:06:26Z,2024-09-05T17:02:35Z,2024-09-05T13:37:02Z,0,28,0.9333333333333333,HTML
papers-we-love,86604,5716,21,2013-12-15T14:31:41Z,2024-09-05T17:20:09Z,2024-09-01T12:09:47Z,0,28,0.5,Shell
thefuck,84512,3423,344,2015-04-08T15:08:04Z,2024-09-05T17:15:13Z,2024-07-19T14:56:13Z,17,13,0.13333333333333333,Python
frp,84131,13117,53,2015-12-21T15:24:59Z,2024-09-05T15:42:50Z,2024-08-19T05:48:24Z,30,29,0.7666666666666667,Go
iptv,84111,2392,24,2018-11-14T22:00:57Z,2024-09-05T16:52:16Z,2024-09-05T00:09:52Z,0,23,0.43333333333333335,JavaScript
storybook,83926,9209,1999,2016-03-18T04:23:44Z,2024-09-05T15:44:27Z,2024-09-05T17:41:33Z,30,22,0.5,TypeScript
Web-Dev-For-Beginners,82905,12300,103,2020-11-10T02:44:00Z,2024-09-05T16:50:53Z,2024-09-02T18:27:02Z,0,23,0.7333333333333333,JavaScript
Awesome-Hacking,82389,8850,18,2016-03-30T15:47:10Z,2024-09-05T17:34:14Z,2024-08-22T10:49:33Z,0,30,1.0,
every-programmer-should-know,82114,7695,55,2017-08-24T13:18:26Z,2024-09-05T14:53:11Z,2024-08-06T12:01:28Z,0,17,0.36666666666666664,
pytorch,81856,21967,14823,2016-08-13T05:26:41Z,2024-09-05T17:36:04Z,2024-09-05T17:59:31Z,30,3,0.03333333333333333,Python
yt-dlp,81753,6382,1688,2020-10-26T04:22:55Z,2024-09-05T16:22:56Z,2024-09-02T19:20:37Z,30,5,0.16666666666666666,Python
tailwindcss,81712,4111,71,2017-10-06T14:59:14Z,2024-09-05T16:57:49Z,2024-09-05T15:21:36Z,30,23,0.6666666666666666,TypeScript
tauri,81528,2437,956,2019-07-13T09:09:37Z,2024-09-05T17:53:32Z,2024-09-05T17:57:55Z,30,27,0.7333333333333333,Rust
neovim,81442,5562,1756,2014-01-31T13:39:22Z,2024-09-05T17:54:00Z,2024-09-05T14:23:59Z,30,20,0.5333333333333333,Vim Script
excalidraw,80529,7412,1814,2020-01-02T01:04:43Z,2024-09-05T17:36:58Z,2024-09-05T13:45:17Z,13,18,0.36666666666666664,TypeScript
animate.css,80522,16225,41,2011-10-12T10:07:38Z,2024-09-05T15:39:25Z,2024-07-29T19:34:21Z,22,18,0.5,CSS
realworld,80220,7288,50,2016-02-26T20:49:53Z,2024-09-05T16:47:07Z,2024-09-03T19:35:32Z,0,21,0.6666666666666666,TypeScript
django,79045,31480,247,2012-04-28T02:47:18Z,2024-09-05T17:14:10Z,2024-09-03T14:25:19Z,0,16,0.5333333333333333,Python
app-ideas,78818,9423,434,2019-02-25T18:36:56Z,2024-09-05T17:41:35Z,2024-08-16T09:41:10Z,0,6,0.2,
nvm,78648,7881,352,2010-04-15T17:47:47Z,2024-09-05T17:39:52Z,2024-09-05T06:29:39Z,30,21,0.8,Shell
svelte,78152,4082,860,2016-11-20T18:13:05Z,2024-09-05T17:24:32Z,2024-09-05T17:08:36Z,30,23,0.5666666666666667,JavaScript
laravel,78034,23957,31,2011-06-08T03:06:08Z,2024-09-05T17:10:36Z,2024-09-03T15:32:25Z,30,29,0.9666666666666667,PHP
bitcoin,77824,35828,665,2010-12-19T15:16:43Z,2024-09-05T17:49:27Z,2024-09-05T13:53:51Z,30,15,0.23333333333333334,C++
opencv,77815,55695,2616,2012-07-19T09:40:17Z,2024-09-05T16:58:24Z,2024-09-05T08:30:03Z,30,17,0.36666666666666664,C++
gin,77791,7959,795,2014-06-16T23:57:25Z,2024-09-05T16:43:56Z,2024-09-02T22:20:13Z,26,12,0.26666666666666666,Go
mall,77157,28670,26,2018-04-04T01:11:44Z,2024-09-05T15:38:17Z,2024-09-05T11:42:56Z,3,25,0.9666666666666667,Java
models,76931,45798,1251,2016-02-05T01:15:20Z,2024-09-05T14:57:49Z,2024-09-03T22:59:08Z,30,6,0.16666666666666666,Python
FiraCode,76622,3086,394,2014-11-11T19:32:38Z,2024-09-05T16:30:28Z,2024-05-10T03:31:28Z,29,29,0.36666666666666664,Clojure
advanced-java,75601,19000,5,2018-10-06T11:38:30Z,2024-09-05T16:04:50Z,2024-08-21T00:22:08Z,1,30,0.8666666666666667,Java
fastapi,75315,6349,298,2018-12-08T08:21:47Z,2024-09-05T17:59:19Z,2024-09-05T15:32:13Z,30,27,0.9,Python
LeetCodeAnimation,75283,13968,18,2018-12-06T08:01:22Z,2024-09-05T16:04:57Z,2023-08-14T12:14:01Z,0,29,0.5333333333333333,Java
awesome-mac,74746,6211,160,2016-07-17T15:33:47Z,2024-09-05T17:34:14Z,2024-09-04T17:16:15Z,9,26,0.7,JavaScript
ChatGPT-Next-Web,74626,58799,451,2023-03-10T18:27:54Z,2024-09-05T16:51:49Z,2024-09-04T13:04:23Z,30,24,0.5,TypeScript
hugo,74605,7445,469,2013-07-04T15:26:26Z,2024-09-05T17:54:24Z,2024-09-05T11:10:10Z,30,25,0.6666666666666666,Go
spring-boot,74383,40509,567,2012-10-19T15:02:57Z,2024-09-05T17:41:58Z,2024-09-05T15:12:23Z,30,25,0.23333333333333334,Java
Font-Awesome,73481,12194,4056,2012-02-17T14:19:43Z,2024-09-05T16:37:36Z,2024-07-18T09:48:49Z,30,28,0.6666666666666666,JavaScript
bun,72981,2655,3553,2021-04-14T00:48:17Z,2024-09-05T17:26:54Z,2024-09-05T17:56:03Z,30,11,0.2,Zig
json-server,72476,6987,696,2013-11-27T13:21:13Z,2024-09-05T15:15:49Z,2024-08-21T08:44:11Z,30,22,0.36666666666666664,JavaScript
awesome-vue,71829,9445,45,2015-10-20T00:16:14Z,2024-09-05T16:43:16Z,2024-08-26T06:43:01Z,0,28,0.9333333333333333,
rustdesk,71679,8390,46,2020-09-28T15:36:08Z,2024-09-05T17:29:53Z,2024-09-05T17:15:07Z,20,29,0.9333333333333333,Rust
supabase,71240,6785,462,2019-10-12T05:56:49Z,2024-09-05T17:54:38Z,2024-09-05T16:39:26Z,15,17,0.4666666666666667,TypeScript
core,71026,29678,2677,2013-09-17T07:29:48Z,2024-09-05T17:56:50Z,2024-09-05T17:39:43Z,30,6,0.16666666666666666,Python
mermaid,70473,6295,1023,2014-11-01T23:52:32Z,2024-09-05T17:39:51Z,2024-09-05T15:47:31Z,30,20,0.3,JavaScript
netdata,70315,5842,213,2013-06-17T18:39:10Z,2024-09-05T16:48:21Z,2024-09-05T16:48:09Z,30,27,0.8333333333333334,C
awesome-interview-questions,70200,8832,51,2015-11-28T09:48:17Z,2024-09-05T17:48:24Z,2024-07-29T14:21:23Z,0,6,0.16666666666666666,
elasticsearch,69390,24557,4543,2010-02-08T13:20:56Z,2024-09-05T17:32:54Z,2024-09-05T17:54:17Z,30,17,0.4,Java
ML-For-Beginners,68966,14228,4,2021-03-03T01:34:05Z,2024-09-05T16:23:02Z,2024-08-31T05:16:35Z,0,27,0.8666666666666667,HTML
gpt4all,68965,7566,559,2023-03-27T18:49:32Z,2024-09-05T17:24:31Z,2024-09-04T22:30:07Z,23,24,0.4666666666666667,C++
Front-End-Checklist,68491,6410,2,2017-10-16T10:12:36Z,2024-09-05T17:34:29Z,2024-05-08T22:37:16Z,1,30,0.9333333333333333,
moby,68434,18614,3470,2013-01-18T18:10:57Z,2024-09-05T17:15:39Z,2024-09-04T09:57:15Z,30,19,0.5666666666666667,Go
node,68121,2507,21,2023-02-01T13:55:02Z,2024-09-05T13:38:12Z,2024-08-30T13:05:45Z,30,25,0.5,Shell
ui,67996,4020,951,2023-01-04T12:43:27Z,2024-09-05T17:42:28Z,2024-09-03T20:37:58Z,19,11,0.36666666666666664,TypeScript
github-readme-stats,67871,22226,298,2020-07-09T10:34:22Z,2024-09-05T17:36:23Z,2024-09-05T17:36:27Z,0,22,0.6333333333333333,JavaScript
reveal.js,67530,16613,825,2011-06-07T18:54:22Z,2024-09-05T17:37:10Z,2024-06-13T06:54:15Z,30,22,0.2,JavaScript
flask,67478,16143,10,2010-04-06T11:11:59Z,2024-09-05T17:03:33Z,2024-09-01T16:04:17Z,30,27,0.8,Python
code-server,67463,5524,107,2019-02-27T16:50:41Z,2024-09-05T17:58:54Z,2024-09-03T18:25:52Z,30,29,0.5666666666666667,TypeScript
funNLP,67449,14389,156,2018-08-21T11:20:39Z,2024-09-05T17:51:51Z,2024-05-10T07:38:24Z,0,23,0.23333333333333334,Python
stable-diffusion,67386,10077,592,2022-08-10T14:36:44Z,2024-09-05T17:16:35Z,2024-06-18T01:53:49Z,0,9,0.13333333333333333,Jupyter Notebook
awesome-for-beginners,67381,6911,158,2015-10-24T19:53:36Z,2024-09-05T17:52:42Z,2024-08-20T12:28:34Z,0,17,0.5666666666666667,
swift,67248,10322,7562,2015-10-23T21:15:07Z,2024-09-05T16:46:06Z,2024-09-05T17:15:00Z,30,7,0.23333333333333334,C++
whisper,67096,7913,72,2022-09-16T20:02:54Z,2024-09-05T17:54:38Z,2024-08-19T23:49:41Z,10,10,0.3333333333333333,Python
vite,67050,6016,618,2020-04-21T05:03:57Z,2024-09-05T16:14:17Z,2024-09-04T19:19:22Z,30,22,0.43333333333333335,TypeScript
nest,66656,7532,140,2017-02-04T20:12:52Z,2024-09-05T16:08:05Z,2024-09-05T11:19:00Z,30,13,0.3,TypeScript
v2rayN,66600,11144,22,2019-07-30T03:47:24Z,2024-09-05T17:57:32Z,2024-09-05T05:29:57Z,30,29,0.6333333333333333,C#
cs-video-courses,66394,9050,2,2016-10-21T17:02:11Z,2024-09-05T17:13:08Z,2024-09-01T13:48:27Z,0,29,0.9333333333333333,
HowToCook,66288,8680,386,2020-02-29T10:43:49Z,2024-09-05T15:24:05Z,2024-08-13T13:03:54Z,3,29,0.6,Dockerfile
redis,66199,23695,2492,2009-03-21T22:32:25Z,2024-09-05T15:10:38Z,2024-09-05T14:04:50Z,30,21,0.5333333333333333,C
devops-exercises,65723,14644,30,2019-10-03T17:31:21Z,2024-09-05T16:50:44Z,2024-08-31T08:15:03Z,0,29,0.7333333333333333,Python
playwright,65403,3557,645,2019-11-15T18:32:42Z,2024-09-05T17:22:36Z,2024-09-05T15:40:39Z,30,21,0.5666666666666667,TypeScript
awesome-machine-learning,65287,14572,1,2014-07-15T19:11:19Z,2024-09-05T17:39:29Z,2024-08-07T17:16:24Z,0,30,0.9666666666666667,Python
protobuf,65095,15429,378,2014-08-26T15:52:15Z,2024-09-05T17:16:03Z,2024-09-05T17:58:26Z,30,2,0.06666666666666667,C++
express,64731,15404,176,2009-06-26T18:56:01Z,2024-09-05T17:51:42Z,2024-09-04T21:30:41Z,30,21,0.7,JavaScript
webpack,64548,8770,258,2012-03-10T10:08:14Z,2024-09-05T16:23:57Z,2024-09-05T02:56:16Z,30,23,0.7,JavaScript
llama.cpp,64517,9235,581,2023-03-10T18:58:00Z,2024-09-05T17:26:46Z,2024-09-05T16:19:49Z,30,14,0.23333333333333334,C++
Chart.js,64318,11882,423,2013-03-17T23:56:36Z,2024-09-05T11:25:47Z,2024-08-29T07:02:52Z,30,23,0.6,JavaScript
awesome-react,64280,7146,16,2014-08-06T05:31:44Z,2024-09-05T17:55:07Z,2024-08-21T04:52:03Z,0,17,0.5,
grafana,63756,11938,4139,2013-12-11T15:59:56Z,2024-09-05T17:50:46Z,2024-09-05T17:59:12Z,30,14,0.36666666666666664,TypeScript
gpt_academic,63661,7882,326,2023-03-20T09:05:13Z,2024-09-05T16:45:59Z,2024-09-05T05:21:19Z,30,28,0.2,Python
hoppscotch,63647,4382,411,2019-08-21T13:15:24Z,2024-09-05T17:27:19Z,2024-09-05T10:55:43Z,30,26,0.5333333333333333,TypeScript
fzf,63597,2365,288,2013-10-23T16:04:23Z,2024-09-05T16:52:46Z,2024-09-02T13:24:11Z,30,26,0.8,Go
syncthing,63593,4208,393,2013-11-26T09:48:21Z,2024-09-05T17:22:48Z,2024-09-05T16:35:58Z,30,18,0.4666666666666667,Go
interviews,63284,12882,113,2017-02-14T18:19:25Z,2024-09-05T16:08:41Z,2024-05-13T08:48:36Z,0,10,0.4,Java
33-js-concepts,62990,8795,43,2018-09-04T13:27:04Z,2024-09-05T17:34:36Z,2024-08-06T19:18:40Z,0,23,0.6666666666666666,JavaScript
sway,62804,5352,813,2021-01-19T20:54:33Z,2024-09-05T17:38:16Z,2024-09-05T16:14:50Z,30,21,0.6,Rust
system-design-101,62750,6522,39,2023-09-18T20:52:03Z,2024-09-05T17:53:17Z,2024-08-16T06:44:51Z,0,22,0.43333333333333335,
strapi,62640,7858,788,2015-09-30T15:34:48Z,2024-09-05T16:51:54Z,2024-09-05T16:05:39Z,30,21,0.6,TypeScript
ansible,62258,23791,862,2012-03-06T14:58:02Z,2024-09-05T15:37:00Z,2024-09-05T15:55:10Z,30,20,0.6333333333333333,Python
javascript-questions,62150,8827,23,2019-06-12T08:26:27Z,2024-09-05T17:34:27Z,2024-08-04T16:08:40Z,0,17,0.3333333333333333,
cpython,62131,29854,8823,2017-02-10T19:23:51Z,2024-09-05T17:57:00Z,2024-09-05T17:56:53Z,0,18,0.26666666666666666,Python
the-algorithm,62006,12145,427,2023-03-27T14:57:57Z,2024-09-05T17:14:05Z,2024-07-10T07:07:01Z,0,12,0.06666666666666667,Scala
resume.github.com,61828,1355,67,2011-02-06T13:39:55Z,2024-09-05T17:21:14Z,2023-02-15T06:38:51Z,0,18,0.3,JavaScript
manim,61781,5751,432,2015-03-22T18:50:58Z,2024-09-05T17:23:39Z,2024-08-26T17:08:29Z,10,17,0.36666666666666664,Python
generative-ai-for-beginners,61590,31213,22,2023-06-19T16:28:59Z,2024-09-05T17:39:55Z,2024-09-03T10:01:43Z,0,21,0.6666666666666666,Jupyter Notebook
superset,61568,13442,956,2015-07-21T18:55:34Z,2024-09-05T17:52:01Z,2024-09-05T17:51:55Z,30,19,0.6333333333333333,TypeScript
keras,61558,19415,238,2015-03-28T00:35:42Z,2024-09-05T17:13:38Z,2024-09-05T17:13:32Z,30,28,0.7,Python
Ventoy,61546,4000,753,2020-03-10T15:19:19Z,2024-09-05T17:55:48Z,2024-08-10T14:41:15Z,30,14,0.13333333333333333,C
d2l-zh,61053,10833,84,2017-08-23T04:40:24Z,2024-09-05T17:32:10Z,2024-07-30T09:32:19Z,16,6,0.2,Python
socket.io,60862,10086,194,2010-03-11T18:24:48Z,2024-09-05T15:42:58Z,2024-08-23T21:20:49Z,30,22,0.3333333333333333,TypeScript
Best-websites-a-programmer-should-visit,60860,7645,903,2017-03-05T20:25:17Z,2024-09-05T17:03:49Z,2024-09-03T08:27:12Z,0,21,0.6333333333333333,
redux,60778,15268,39,2015-05-29T23:53:15Z,2024-09-05T16:57:53Z,2024-08-29T15:47:32Z,30,28,0.8666666666666667,TypeScript
tesseract,60716,9340,424,2014-08-12T18:04:59Z,2024-09-05T15:15:11Z,2024-09-04T03:22:04Z,30,27,0.6666666666666666,C++
nocode,60348,4716,4461,2018-02-06T23:54:00Z,2024-09-05T15:23:58Z,2024-08-07T03:19:12Z,1,11,0.0,Dockerfile
atom,60139,17399,994,2012-01-20T18:18:21Z,2024-09-05T17:38:16Z,2023-01-03T10:49:48Z,30,10,0.1,JavaScript
echarts,60088,19595,2202,2013-04-03T03:18:59Z,2024-09-05T15:01:35Z,2024-09-05T06:56:35Z,30,21,0.36666666666666664,TypeScript
awesome-public-datasets,60005,9825,125,2014-11-20T06:20:50Z,2024-09-05T16:46:05Z,2024-07-08T01:13:08Z,1,15,0.2,
gpt4free,59867,13200,13,2023-03-29T17:00:43Z,2024-09-05T17:28:55Z,2024-08-30T20:41:36Z,30,28,0.6333333333333333,Python
PayloadsAllTheThings,59813,14429,26,2016-10-18T07:29:07Z,2024-09-05T17:57:07Z,2024-08-26T09:29:03Z,3,15,0.5,Python
architect-awesome,59650,17815,66,2018-04-06T13:30:58Z,2024-09-05T17:09:54Z,2024-04-11T11:32:12Z,0,20,0.4666666666666667,
markdown-here,59609,11272,331,2012-05-13T03:27:22Z,2024-09-05T17:01:02Z,2023-01-16T15:01:42Z,11,15,0.23333333333333334,JavaScript
lodash,59584,7008,100,2012-04-07T04:11:46Z,2024-09-05T16:37:55Z,2024-08-10T15:57:52Z,2,10,0.23333333333333334,JavaScript
Front-end-Developer-Interview-Questions,59490,11051,41,2012-02-09T23:34:10Z,2024-09-05T17:46:48Z,2024-09-01T03:19:48Z,0,25,0.8333333333333334,Nunjucks
scikit-learn,59340,25233,2083,2010-08-17T09:43:38Z,2024-09-05T17:34:55Z,2024-09-05T17:34:45Z,30,19,0.6333333333333333,Python
imgui,59277,10105,1063,2014-07-21T14:29:47Z,2024-09-05T17:24:53Z,2024-09-05T13:30:35Z,30,23,0.6333333333333333,C++
